Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
mean_Q,0.006009620348153944,0.49894553168422745,-0.03182243028281789,0.0029682861953880344,-0.037832050630971836,Intermediate,M2
mean_organic,-0.00886846667038855,0.32312262061871405,0.019836944273524688,0.04595726746626373,0.02870541094391324,Intermediate,M2
mean_salinity,-0.017499978676093302,0.11509301111840062,-0.00840159497321128,0.39447213514195484,0.0090983837028820215,Intermediate,M2
HFP_period,-0.008072280107841898,0.5209448639009622,0.008620999612530923,0.4258574731773675,0.016693279720372822,Intermediate,M2
elevation,-0.006363858868126411,0.5546659245117804,-0.023426225163232534,0.016334133721698577,-0.017062366295106123,Intermediate,M2
mean_temp,0.14153447148470397,2.8765967103611166e-7,-0.07338178701058308,0.004165297396363688,-0.21491625849528706,Intermediate,M3
sen_temp,0.013776182341059985,0.10036191079007163,0.03291750123688566,9.739919678541851e-6,0.019141318895825675,Intermediate,M3
mean_Q,-1.8401505126219983e-4,0.978042491290752,-0.03832157927361783,2.914162467726861e-6,-0.03813756422235563,Intermediate,M3
mean_organic,-0.010962410676436758,0.17111327913221575,0.01878769872888985,0.03259008675152201,0.02975010940532661,Intermediate,M3
mean_salinity,-0.017728061090888578,0.06652506290513294,-0.010070367891696904,0.23664888439411227,0.007657693199191674,Intermediate,M3
HFP_period,-0.009406500058925321,0.40196087200160313,0.004547718938738966,0.6379468392399399,0.013954218997664287,Intermediate,M3
elevation,-0.010808962463847415,0.3289397924964843,-0.03053825464733108,0.0015670867790247532,-0.01972929218348366,Intermediate,M3
mean_temp,0.14366738300764892,2.212716694273784e-6,-0.08247275392516983,0.00420161394230608,-0.22614013693281876,Intermediate,M4
sen_temp,0.010320555309197104,0.2461714580997148,0.029134835144448548,2.141998555179656e-4,0.018814279835251444,Intermediate,M4
mean_Q,0.004172587473854542,0.6433101181002787,-0.03373147377676836,0.001775000733611683,-0.03790406125062291,Intermediate,M4
mean_organic,-0.007223377507522485,0.4237681474578588,0.021737839424491322,0.030231013528616173,0.028961216932013808,Intermediate,M4
mean_salinity,-0.016834377104359036,0.12972552467156548,-0.0078065804616400235,0.4290789262556934,0.009027796642719013,Intermediate,M4
HFP_period,-0.00702623511717895,0.5791559059597282,0.009924352392239868,0.36575023277715196,0.01695058750941882,Intermediate,M4
elevation,-0.004525568716158925,0.7231565379975196,-0.022652684771803475,0.0479539885777694,-0.01812711605564455,Intermediate,M4
mean_temp,0.1365934580991073,9.818429215935605e-7,-0.08806510240173276,9.398789312755681e-4,-0.22465856050084007,Intermediate,M5
