Term,Estimate,Std. Error,df,t value,Pr(>|t|),p,sig,Effect_type,Delta_var,Zone,Model
mean_organic_z,1.406790251943051,0.8060200803252168,2154.097875896637,1.745353851947997,0.08106587650649857,0.08106587650649857,,Main,NA,Cold,M2
mean_salinity_z,0.004559205377864723,0.5794690606520919,1793.0502525609675,0.007867901303883469,0.9937232630368913,0.9937232630368913,,Main,NA,Cold,M2
HFP_period_z,-0.0016259134456720668,0.02359397472381975,1508.8606702323289,-0.06891223139400054,0.9450686134028885,0.9450686134028885,,Main,NA,Cold,M2
elevation_z,-0.003853581474120903,0.02064337312233804,653.7978297103655,-0.18667402130860927,0.8519741348034522,0.8519741348034522,,Main,NA,Cold,M2
Period_bin:mean_temp_z,0.06336982905794304,0.0622842642327214,3702.8967271768593,1.0174291988288646,0.3090157681249233,0.3090157681249233,,Delta,mean_temp_z,Cold,M2
Period_bin:sen_temp_z,0.06646572400815423,0.03412240730255874,3437.418673089003,1.9478615157134636,0.051512832127414435,0.051512832127414435,,Delta,sen_temp_z,Cold,M2
Period_bin:mean_Q_z,-0.026936822933710886,0.036009859054195806,3738.506580729547,-0.7480402212396956,0.45448294946417556,0.45448294946417556,,Delta,mean_Q_z,Cold,M2
Period_bin:mean_organic_z,-0.2537774230392155,0.9796977631046441,3037.080646475225,-0.25903644225439443,0.7956246779663725,0.7956246779663725,,Delta,mean_organic_z,Cold,M2
Period_bin:mean_salinity_z,-0.27274305109561925,0.6554765168277215,3390.220063704633,-0.4160988900343842,0.6773639801491554,0.6773639801491554,,Delta,mean_salinity_z,Cold,M2
Period_bin:HFP_period_z,-0.03982372864180199,0.031434079473303726,3621.828430703158,-1.2668966074105465,0.20527372235492797,0.20527372235492797,,Delta,HFP_period_z,Cold,M2
Period_bin:elevation_z,-0.04768371869114267,0.02402092585646925,3681.5571805628883,-1.9850907902578043,0.047208463369049616,0.047208463369049616,*,Delta,elevation_z,Cold,M2
(Intercept),0.8432302203529535,0.7626995538390487,3435.1453164314757,1.1055863558704782,0.26898302239234634,0.26898302239234634,,Main,NA,Cold,M3
Period_bin,-0.19815921982433926,0.8664309642070376,3745.009848812052,-0.22870745392357447,0.8191087884714789,0.8191087884714789,,Period,NA,Cold,M3
mean_temp_z,-0.16413397580913736,0.07270223412243028,280.7866139636411,-2.257619422433929,0.024737546604801357,0.024737546604801357,*,Main,NA,Cold,M3
sen_temp_z,-0.042351162666451975,0.02153096127720664,3481.9556535368242,-1.9669889384495927,0.04926377262577615,0.04926377262577615,*,Main,NA,Cold,M3
