Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
mean_organic,0.050594236399149006,0.01325709482351546,-0.02026493064960479,0.20926778042108624,-0.0708591670487538,Warm,M1
mean_salinity,-0.02008875851652608,0.049013131495859834,0.014725225739844963,0.04217074987384188,0.03481398425637104,Warm,M1
HFP_period,-0.020634600059444886,0.17292856438654147,-0.015253893398586845,0.188963745709258,0.005380706660858041,Warm,M1
elevation,0.016135996350860396,0.26926099149391847,-0.001148904345828631,0.9238046129092866,-0.017284900696689028,Warm,M1
mean_temp,0.13724667759475456,0.003499565148747049,0.013334920184586454,0.720721426443198,-0.1239117574101681,Warm,M2
sen_temp,0.03856854195081264,0.0931293531686942,0.0028222176677252225,0.7605642139864085,-0.03574632428308742,Warm,M2
mean_Q,-0.031197972303425404,0.014241856044929663,0.003826834688249778,0.7205610868690513,0.03502480699167518,Warm,M2
mean_organic,0.05133765961999299,0.011874085163238126,-0.020052415950534166,0.21387132656621988,-0.07139007557052715,Warm,M2
mean_salinity,-0.020314368373162854,0.04645000024351081,0.014741999988519716,0.041869626523622396,0.03505636836168257,Warm,M2
HFP_period,-0.020425288738646418,0.17693522925478494,-0.014808464229866166,0.2019519723133914,0.005616824508780252,Warm,M2
elevation,0.016208673970972656,0.26617345551418803,-7.666033947903683e-4,0.9489725420166785,-0.016975277365763024,Warm,M2
mean_temp,0.14242926754132068,0.0023487242287946815,0.022789886167761734,0.5418217467352866,-0.11963938137355895,Warm,M3
sen_temp,0.03569776066075678,0.1172866037690698,0.006332502356201941,0.5044826199395132,-0.029365258304554838,Warm,M3
mean_Q,-0.030923888081744174,0.014605798140302112,0.00399772758384518,0.7059113556032182,0.03492161566558935,Warm,M3
mean_organic,0.04483442899578824,0.02895710131376247,-0.02274624900327801,0.1576154764227377,-0.06758067799906625,Warm,M3
mean_salinity,-0.021626629505337225,0.034172972280081204,0.013556412751604891,0.0613321577287661,0.03518304225694212,Warm,M3
HFP_period,-0.025314948729704884,0.09927410567824334,-0.018893418504212105,0.10959537237347397,0.006421530225492779,Warm,M3
elevation,0.014411471507363506,0.32008197194379573,-0.0012593357623618903,0.9150015842283545,-0.015670807269725397,Warm,M3
mean_temp,0.14305703111507054,0.002248908422580161,0.022670997663141578,0.5440613810571333,-0.12038603345192896,Warm,M4
sen_temp,0.03627583367136068,0.11129020824073875,0.006106075732467368,0.5194959203712226,-0.030169757938893316,Warm,M4
mean_Q,-0.030981045924597557,0.014397514058056456,0.0040092604903113754,0.7050680904616355,0.03499030641490893,Warm,M4
mean_organic,0.045579839269199354,0.02636154962726305,-0.02243596612436737,0.16340296182605613,-0.06801580539356672,Warm,M4
mean_salinity,-0.021843571751559997,0.03242769963564205,0.013555358985216466,0.0614080079603203,0.03539893073677646,Warm,M4
HFP_period,-0.02537908801304492,0.09852592547158236,-0.018686118125673213,0.11386077508950135,0.006692969887371707,Warm,M4
elevation,0.014377240420530134,0.3211113784500919,-0.0010566228609589939,0.9286420802984273,-0.015433863281489128,Warm,M4
mean_temp,0.13645885568628302,0.003501940871547763,0.013265333838796554,0.719468558979861,-0.12319352184748647,Warm,M5
sen_temp,0.038457909006923134,0.09148584144757903,0.0030010397746375226,0.745720608944916,-0.03545686923228561,Warm,M5
mean_Q,-0.03145843742287839,0.01309504123124019,0.0035714393156563856,0.7362522672595724,0.035029876738534776,Warm,M5
mean_organic,0.05049901938632252,0.013087514725725452,-0.021038693570045945,0.19095990003763033,-0.07153771295636846,Warm,M5
mean_salinity,-0.020442097830011954,0.044789349795872256,0.014661510486034113,0.0425854411816396,0.035103608316046066,Warm,M5
HFP_period,-0.019733431495145965,0.191134888541161,-0.014297187572991326,0.21696845833612288,0.0054362439221546394,Warm,M5
elevation,0.01665878264501879,0.2488420298469626,-4.7660827327490256e-5,0.9967761111050611,-0.016706443472346278,Warm,M5
mean_temp,0.14305703097567143,0.0022491428371920023,0.022670997689975967,0.5440595165320926,-0.12038603328569547,Warm,M6
sen_temp,0.03627583354099248,0.11129051465917363,0.006106075782675269,0.5194982156020347,-0.030169757758317213,Warm,M6
mean_Q,-0.030981045911597307,0.014398401209509889,0.0040092604877041,0.7050676981572637,0.03499030639930141,Warm,M6
mean_organic,0.045579839102838755,0.026360940342173612,-0.02243596619222332,0.16340291426553105,-0.06801580529506207,Warm,M6
mean_salinity,-0.021843571703252778,0.03242693415604416,0.013555358985398792,0.06140841618040158,0.03539893068865157,Warm,M6
HFP_period,-0.025379087999699478,0.09852319413707084,-0.018686118171559626,0.11385876336688985,0.006692969828139852,Warm,M6
elevation,0.0143772404275445,0.3211121675740297,-0.0010566229059308509,0.9286421981744343,-0.01543386333347535,Warm,M6
